Iteration;Error
1;0.00160868
2;0.0011919
3;0.00111212
4;0.00108654
5;0.00106466
6;0.00105322
7;0.00103198
8;0.00101397
9;0.00100024
10;0.0009925
11;0.000983628
12;0.000980132
13;0.000971413
14;0.000972713
15;0.000972108
16;0.000969885
17;0.000971951
18;0.000968319
19;0.000970909
20;0.000971601
21;0.000969909
22;0.000972232
23;0.000968757
24;0.000971331
25;0.000972026
26;0.000970149
27;0.000972429
28;0.000969243
29;0.000971714
30;0.000971625
31;0.000971945
32;0.000971088
33;0.000973171
34;0.000969492
35;0.000971907
36;0.00097133
37;0.000973045
38;0.00096939
39;0.000971828
40;0.000971593
41;0.00097227
42;0.000970238
43;0.000972496
44;0.000969556
45;0.000971958
46;0.00097126
47;0.000973307
48;0.000969601
49;0.000971993
50;0.000971146
51;0.000973217
52;0.000969528
53;0.000971936
54;0.000971325
55;0.000973124
56;0.000969454
57;0.000971877
58;0.000971485
59;0.000972623
60;0.000969202
61;0.000971679
62;0.000972043
63;0.000970984
64;0.000973088
65;0.000969425
66;0.000971854
67;0.000971548
68;0.000972431
69;0.000969762
70;0.000972121
71;0.000970731
72;0.000972887
73;0.000969263
74;0.000971727
75;0.000971905
76;0.000971409
77;0.000972856
78;0.000969238
79;0.000971707
80;0.000971962
81;0.000971255
82;0.000973303
83;0.000969598
84;0.000971991
85;0.000971158
86;0.000973226
87;0.000969536
88;0.000971942
89;0.000971311
90;0.000973172
91;0.000969493
92;0.000971908
93;0.000971401
94;0.000972882
95;0.000969259
96;0.000971724
97;0.000971914
98;0.000971386
99;0.00097293
100;0.000969297

Importance index;Value
o(Creativite);1.22433
o(NPD);0.48123
o(RH);0.733517
o(Strategie);1.15096
o(GesProjets);1.04914
o(KM);1.36083
