Iteration;Error
1;0.0264562
2;0.026693
3;0.0228798
4;0.0225151
5;0.022322
6;0.0221899
7;0.0220973
8;0.0220312
9;0.0219831
10;0.0219477
11;0.0219213
12;0.0219015
13;0.0218864
14;0.0218749
15;0.0218661
16;0.0218593
17;0.0218541
18;0.02185
19;0.0218469
20;0.0218445
21;0.0218426
22;0.0218412
23;0.02184
24;0.0218392
25;0.0218385
26;0.021838
27;0.0218376
28;0.0218372
29;0.021837
30;0.0218368
31;0.0218366
32;0.0218365
33;0.0218365
34;0.0218364
35;0.0218363
36;0.0218363
37;0.0218363
38;0.0218362
39;0.0218362
40;0.0218362
41;0.0218362
42;0.0218362
43;0.0218362
44;0.0218362
45;0.0218362
46;0.0218362
47;0.0218362
48;0.0218362
49;0.0218362
50;0.0218362
51;0.0218361
52;0.0218361
53;0.0218361
54;0.0218361
55;0.0218361
56;0.0218361
57;0.0218361
58;0.0218361
59;0.0218361
60;0.0218361
61;0.0218361
62;0.0218361
63;0.0218361
64;0.0218361
65;0.0218361
66;0.0218361
67;0.0218361
68;0.0218361
69;0.0218361
70;0.0218361
71;0.0218361
72;0.0218361
73;0.0218361
74;0.0218361
75;0.0218361
76;0.0218361
77;0.0218361
78;0.0218361
79;0.0218361
80;0.0218361
81;0.0218361
82;0.0218361
83;0.0218361
84;0.0218361
85;0.0218361
86;0.0218361
87;0.0218361
88;0.0218361
89;0.0218361
90;0.0218361
91;0.0218361
92;0.0218361
93;0.0218361
94;0.0218361
95;0.0218361
96;0.0218361
97;0.0218361
98;0.0218361
99;0.0218361
100;0.0218361

Importance index;Value
o(Onctuosite);1.09479
o(Texture);1.33809
o(Gout);1.26743
o(Odeur);0.299687
